millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
187660,25.13360,95196,14.36809,101.58600,523.34198,-10.12882,-2.03868,-0.31585,-0.02535,-0.00458,-0.13867,-38.68752,1.53464,19.43876,20,
189005,25.14685,95195,14.38349,102.32800,523.34198,-9.64068,-1.77308,0.78245,0.01527,0.09041,-0.04307,-38.74598,0.68693,17.36334,20,
190352,25.16200,95194,14.39403,101.83200,523.34198,-9.87039,-1.51466,0.42353,0.03787,0.00428,-0.01772,-38.19059,-0.87694,18.12336,20,
191697,25.17620,95193,14.40454,102.20300,523.42920,-9.80579,-1.90229,0.17228,0.11423,0.14325,-0.08888,-38.59982,0.55539,17.62642,20,
193047,25.18693,95195,14.40008,102.07900,523.34198,-9.87757,-2.32582,0.37328,0.06048,0.01130,0.01222,-38.92137,1.63695,17.86028,20,
194471,25.16768,95194,14.40416,102.07900,523.42920,-9.83450,-2.39761,-0.20100,0.01741,-0.02107,-0.03879,-38.84829,2.98158,22.02572,20,
195817,25.18535,95193,14.41976,102.01700,523.42920,-9.78425,-0.48096,0.61735,0.42333,0.26359,-0.29658,-35.96902,-3.33236,22.25957,20,
197163,25.21375,95194,14.42597,101.58600,523.42920,-10.23650,-0.98345,-0.20100,0.06933,0.05528,0.01100,-35.91055,-2.68927,24.91961,20,
198511,25.23363,95194,14.42686,102.45200,523.34198,-10.06421,-0.40199,0.06461,-0.83780,0.03085,0.07483,-35.99825,-2.66004,24.67115,20,
199857,25.25224,95195,14.43263,102.76500,523.34198,-10.07139,-0.44506,0.50967,0.03146,-0.02505,0.03390,-36.49517,1.47618,27.56504,20,
201203,25.26928,95194,14.42845,101.70900,523.34198,-10.02832,-1.12702,0.48096,-0.11118,-0.01100,0.08186,-36.71441,4.66238,27.68196,20,
